16.5.18 15:5:0 ;AngleDec;-59,47
16.5.18 15:6:0 ;AngleDec;-59,22
16.5.18 15:7:0 ;AngleDec;-58,98
16.5.18 15:8:0 ;AngleDec;-58,74
16.5.18 15:9:0 ;AngleDec;-58,50
16.5.18 15:10:0 ;AngleDec;-58,26
16.5.18 15:11:0 ;AngleDec;-58,02
16.5.18 15:12:0 ;AngleDec;-57,79
16.5.18 15:13:0 ;AngleDec;-57,55
16.5.18 15:14:0 ;AngleDec;-57,31
16.5.18 15:15:0 ;AngleDec;-57,08
16.5.18 15:16:0 ;AngleDec;-56,84
16.5.18 15:17:0 ;AngleDec;-56,61
16.5.18 15:18:0 ;AngleDec;-56,37
16.5.18 15:19:0 ;AngleDec;-56,14
16.5.18 15:20:0 ;AngleDec;-55,91
16.5.18 15:21:0 ;AngleDec;-55,67
16.5.18 15:22:0 ;AngleDec;-55,44
16.5.18 15:23:0 ;AngleDec;-55,21
16.5.18 15:24:0 ;AngleDec;-54,98
16.5.18 15:25:0 ;AngleDec;-54,75
16.5.18 15:26:0 ;AngleDec;-54,52
16.5.18 15:27:0 ;AngleDec;-54,29
16.5.18 15:28:0 ;AngleDec;-54,07
16.5.18 15:29:0 ;AngleDec;-53,84
16.5.18 15:30:0 ;AngleDec;-53,61
16.5.18 15:31:0 ;AngleDec;-53,39
16.5.18 15:32:0 ;AngleDec;-53,16
16.5.18 15:33:0 ;AngleDec;-52,94
16.5.18 15:34:0 ;AngleDec;-52,71
16.5.18 15:35:0 ;AngleDec;-52,49
16.5.18 15:36:0 ;AngleDec;-52,27
16.5.18 15:37:0 ;AngleDec;-52,05
16.5.18 15:38:0 ;AngleDec;-51,82
16.5.18 15:39:0 ;AngleDec;-51,60
16.5.18 15:40:0 ;AngleDec;-51,38
16.5.18 15:41:0 ;AngleDec;-51,17
16.5.18 15:42:0 ;AngleDec;-50,95
16.5.18 15:43:0 ;AngleDec;-50,73
16.5.18 15:44:0 ;AngleDec;-50,51
16.5.18 15:45:0 ;AngleDec;-50,29
16.5.18 15:46:0 ;AngleDec;-50,08
